用户编号,客户类型,缴费次数,缴费金额
1000000001,高价值型客户,8,987
1000000002,大众型客户,7,490
1000000003,高价值型客户,7,1180
1000000004,大众型客户,8,621
1000000005,高价值型客户,7,1500
1000000006,高价值型客户,7,1010
1000000007,高价值型客户,7,1106
1000000008,高价值型客户,7,1074
1000000009,高价值型客户,7,970
1000000010,高价值型客户,8,773
1000000011,高价值型客户,7,748
1000000012,高价值型客户,7,911
1000000013,高价值型客户,7,835
1000000014,高价值型客户,7,749
1000000015,大众型客户,7,700
1000000016,高价值型客户,8,784
1000000017,高价值型客户,7,780
1000000018,大众型客户,7,641
1000000019,潜力型客户,6,729
1000000020,高价值型客户,7,899
1000000021,高价值型客户,7,757
1000000022,低价值型客户,6,534
1000000023,低价值型客户,5,493
1000000024,高价值型客户,7,904
1000000025,大众型客户,7,651
1000000026,高价值型客户,7,777
1000000027,大众型客户,7,631
1000000028,低价值型客户,6,571
1000000029,大众型客户,7,691
1000000030,大众型客户,7,671
1000000031,大众型客户,7,655
1000000032,低价值型客户,6,519
1000000033,低价值型客户,6,545
1000000034,高价值型客户,7,721
1000000035,高价值型客户,7,769
1000000036,低价值型客户,6,645
1000000037,大众型客户,7,627
1000000038,低价值型客户,6,534
1000000039,高价值型客户,7,750
1000000040,大众型客户,7,656
1000000041,低价值型客户,6,683
1000000042,大众型客户,7,612
1000000043,大众型客户,7,640
1000000044,低价值型客户,6,601
1000000045,高价值型客户,7,711
1000000046,潜力型客户,6,711
1000000047,大众型客户,7,654
1000000048,低价值型客户,6,678
1000000049,大众型客户,7,589
1000000050,大众型客户,7,568
1000000051,低价值型客户,6,597
1000000052,高价值型客户,7,766
1000000053,大众型客户,7,694
1000000054,低价值型客户,6,459
1000000055,高价值型客户,7,788
1000000056,高价值型客户,7,714
1000000057,高价值型客户,7,711
1000000058,大众型客户,7,685
1000000059,高价值型客户,8,740
1000000060,高价值型客户,7,730
1000000061,大众型客户,7,683
1000000062,高价值型客户,7,773
1000000063,大众型客户,7,628
1000000064,低价值型客户,6,520
1000000065,高价值型客户,7,734
1000000066,低价值型客户,6,699
1000000067,大众型客户,7,689
1000000068,高价值型客户,7,711
1000000069,低价值型客户,6,548
1000000070,大众型客户,8,667
1000000071,高价值型客户,7,742
1000000072,高价值型客户,7,798
1000000073,低价值型客户,4,404
1000000074,大众型客户,7,636
1000000075,大众型客户,7,629
1000000076,高价值型客户,7,725
1000000077,高价值型客户,7,720
1000000078,低价值型客户,5,592
1000000079,低价值型客户,6,597
1000000080,大众型客户,7,603
1000000081,大众型客户,7,680
1000000082,低价值型客户,5,508
1000000083,高价值型客户,7,748
1000000084,高价值型客户,7,1289
1000000085,大众型客户,7,569
1000000086,低价值型客户,4,325
1000000087,大众型客户,7,651
1000000088,大众型客户,7,538
1000000089,低价值型客户,5,388
1000000090,低价值型客户,6,612
1000000091,高价值型客户,7,761
1000000092,低价值型客户,3,254
1000000093,低价值型客户,5,463
1000000094,低价值型客户,6,626
1000000095,高价值型客户,7,999
1000000096,高价值型客户,7,916
1000000097,低价值型客户,6,649
1000000098,潜力型客户,6,735
1000000099,潜力型客户,6,853
1000000100,高价值型客户,7,943
